Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2017-4";"Till Harbaum";"Tipps & Tricks";"Profi-Lights: WS2812B-Vollfarb-Leuchtdioden im fischertechnik-Design";"15–18";"Dass bunte Lampen ein fischertechnik-Modell ganz ungemein aufwerten ist keine neue Erkenntnis und fischertechnik bot schon sehr früh Lampenfassungen für kleine Glühlampen an, auf die man bunte Plastikkappen stecken konnte. Dieses System wurde viele Jahre erfolgreich beibehalten und hat sicher so manches Kinderzimmer abends in ein effektvolles Licht getaucht."
"2017-4";"Daniel Canonica";"Modell";"Geländegängiges Fahrzeug mit 4-Rad-Antrieb";"19–23";"Fahrzeuge mit Allradantrieb dienen vielen Zwecken, z. B. in der Landwirtschaft oder auf schwierigen Bergstrecken. Hier wird ein relativ leicht gebautes Modell vorgestellt."
"2017-4";"Rüdiger Riedel";"Grundlagen";"Elektrische Uhren";"24–33";"Sowohl in der ft:pedia als auch im Bilderpool der ft:community gibt es großartige und perfekt funktionierende Uhren. Viele davon sind auch noch ausgesprochen dekorativ. Mit diesen Vorbildern möchten sich die Uhren dieses Beitrags nicht messen – hier geht es um Funktionsmodelle für einige ganz besondere Uhrenvarianten. Alltagstauglich sind die Modelle überwiegend nicht; sie sollen in erster Linie das Funktionsprinzip veranschaulichen."
"2017-4";"Helmut Jawtusch";"Computing";"Das Universal-Interface am LPT-Port";"34–35";"Wer noch ein Universal-Interface sein eigen nennt (und über einen PC mit Parallelport verfügt), kann ihm ohne große Klimmzüge sogar unter den aktuellen Windows-Betriebssystemen neues Leben einhauchen…"
"2017-4";"René Trapp";"Computing";"V. I. P. – Ein I²C-nach-Computing-Interface-Umsetzer (Teil 3)";"36–49";"Interface-Technik: Die Eingänge, deren Abfrage und ein Wachhund."
"2017-3";"Dirk Fox";"Editorial";"Dark Age";"2";
"2017-3";"Rüdiger Riedel";"Modell";"Mini-Modelle (Teil 17): Der Biegemann oder Schwanenhals";"4";"Manchmal ist fischertechnik einfach viel zu steif! Da wünscht man sich was Biegsames, Flexibles: den Biegemann."
"2017-3";"Thomas Püttmann";"Tipps & Tricks";"Kugelrund und bunt";"5–6";"Vielfalt statt Uniformität: Bunte Stahlkugeln bereichern die Welt der Kugelbahnen."
"2017-3";"Paul Bataille";"Tipps & Tricks";"Fotografieren von Modellen (2): Die Technik";"7–18";"Ein Bild sagt mehr als tausend Worte: Hast du je versucht, eine komplizierte mechanische Konstruktion, die du mit fischertechnik gebaut hast, zu beschreiben? Dann weißt du, was ich meine… Fotografieren ist Schreiben mit Licht. Dabei ist das Licht das Wichtigste; vor allem darauf muss man achten. Da es kaum noch schlechte Kameras gibt, kann man mit wenigen Kenntnissen über die Eigenschaften des Lichts, von Objektiven, der Kamera-Technik und der Nachbearbeitung ohne viel Aufwand und ohne Profi-Apparat gute Ergebnisse erzielen, die einen starken Eindruck hinterlassen."
"2017-3";"Rüdiger Riedel";"Elektromechanik";"Ersatz für die Elektromagnete";"19–22";"Auch wenn das Experimentieren mit Elektromagneten nicht gerade die Massen begeistert, so könnte doch der eine oder andere auf den Geschmack kommen. Um dann festzustellen, dass die ft-Elektromagnete seit längerer Zeit nicht mehr hergestellt werden und auch gebraucht kaum noch zu erhalten sind. Ein Ersatz muss her!"
"2017-3";"Stefan Busch";"Modell";"Schwenktüren";"23–33";"Ein Artikel über Türen? Langweilig: Rahmen, Flügel, Angel – fertig ist die Tür. Aber so einfach ist es nicht immer..."
"2017-3";"Rüdiger Riedel";"Modell";"Teilchenbeschleuniger";"34–41";"Sie gehören zu den größten Maschinen überhaupt, aber sehen kann man sie kaum: Die großen Ringanlagen der Teilchenbeschleuniger. Die weltgrößte dieser Anlagen, CERN, auf französischem und Schweizer Gebiet gelegen, befindet sich mit den wesentlichen Geräten etwa 100 m unter der Erde. Da die Internet-Informationen des CERN sehr unübersichtlich sind, beschreibe ich kurz die kleinere, teilweise stillgelegte Anlage Fermilab [1]. Ziel ist der Bau einer fischertechnik-Demonstrations-Beschleunigeranlage."
"2017-3";"Gerhard Birkenstock";"Modell";"Power-Synchronmotor";"42–45";"In der ft:pedia wurden schon einige richtig schöne Projekte mit Synchronmotoren gezeigt. Oft benötigen diese jedoch besondere Bauteile (z. B. Stabmagnete, Spulen, große Räder). Auch das Starten der Synchronmotoren verlangt etwas Geschick: Sie wollen mit geübter Hand in Schwung gebracht werden. Ich möchte euch hier eine andere Möglichkeit aufzeigen: Ein normaler Gleichstrommotor soll der Antrieb sein, mit Kraft und Präzision aus dem Stand heraus. Einschalten – läuft!"
"2017-3";"Stefan Krause";"Elektrotechnik";"Von Faraday zum Boost-Converter";"46–52";"Strom erweckt viele fischertechnik-Modelle erst so recht zum Leben. Dafür muss die Netzspannung von gefährlichen 230 V auf ungefährliche 9 Volt reduziert werden. Wie geht das, was hat sich da im Laufe der fischertechnik-Geschichte getan? Nach einem Blick auf die Funktionsweise der fischertechnik-Netzgeräte gibt es zum Schluss einen Basteltipp, der noch mehr Spannung herausholt."
"2017-3";"Helmut Jawtusch";"Computing";"Der alte fischertechnik-Plotter mit neuen Treibern";"53–56";"Vor 32 Jahren war der Plotter von fischertechnik eine Sensation [2]. Er besaß zwei große Schrittmotoren und wurde mit einem Basic-Programm über das Parallelinterface gesteuert. Wer seinen Plotter noch nicht ausrangiert hat und noch ein ROBO Interface besitzt, der kann ihn wieder zum Leben erwecken. Wie das geht, wird hier beschrieben."
"2017-3";"René Trapp";"Computing";"V. I. P. – Ein I²C-nach-Computing-Interface-Umsetzer (Teil 2)";"57–68";"Interface-Technik: Die Stromversorgung, die Motorendstufen und deren Geheimnisse."
"2017-2";"Dirk Fox";"Editorial";"Learning by Doing";"2";
"2017-2";"Paul Bataille";"Tipps & Tricks";"Fotografieren von Modellen: Klar denken und klar bauen machen es leichter";"5–12";"Wie fotografiert man seine Modelle so, dass man damit sein Ziel erreicht? So, dass die Begeisterung, die man über ein gelungenes Modell empfindet, beim Betrachter ankommt? Oder dass man verdeutlichen kann, wie man ein Konstruktionsproblem gelöst hat? Oder so, dass die Bilder sogar als eine richtige Bauanleitung dienen können? Mit ein wenig Aufmerksamkeit ist das gar nicht so schwierig. Es hilft natürlich, wenn das Modell gut gebaut worden ist."
"2017-2";"Peter Krijnen";"Modellideen (Modell)";"Glücklich";"13–15";"Vor wenigen Wochen hat mich jemand gefragt, ob ich glaubte, nochmals glücklich sein zu können. Da habe ich ihr gesagt: Glücklich wäre ich nur in meiner eigenen Welt."
"2017-2";"Stefan Falk";"Baukasten (Tipps & Tricks)";"Die Staubschutz-Stückliste für den Urlaubskasten";"16–17";"Im Wohnzimmer-Dienstreisen-Urlaubs-Notfallkasten aus der ft:pedia 1/2016 [1] wird eine Bauplatte 500 als Deckel benutzt. Durch deren Nuten fällt bei längerem Herumstehen gerne Staub ins Innere des Kastens. Im Download-Bereich der ft:community gibt es deshalb ein Staubschutz-Einlegeblatt, das gleichzeitig einen Sortierplan mit Stückliste darstellt und einige Modellanregungen zeigt."
"2017-2";"Stefan Falk";"Modell";"Urlaubskasten-Modell 4: Kranwagen";"18–24";"Zum Bau dieses Kranwagens mit Lenkung, Hinterachsfederung sowie schwenk- und neigbarem Kranarm genügen die Bauteile des Wohnzimmer-Dienstreisen-Urlaubs-Notfallkastens aus ft:pedia 1/2016 [1]."
"2017-2";"Rüdiger Riedel";"Elektromechanik";"Neue Synchronmotoren";"25–31";"In den vergangenen Ausgaben der ft:pedia haben sich mehrere Beiträge mit Synchronmotoren beschäftigt – eingeleitet von Matthias Dettmers Beitrag in ft:pedia 2/2016 [2]. Diesmal wird die Liste der mit fischertechnik konstruierbaren Synchronmaschinen um weitere Varianten mit konstanten Drehzahlen von u. a. 429, 333 oder 214 U/min und bis zu 15 Polpaaren erweitert."
"2017-2";"Daniel Canonica";"Modell";"Tunnelbohrmaschine";"32–35";"Ohne die gewaltigen Tunnelbohrmaschinen wären die heutigen enormen Tunnelprojekte nicht machbar. Diese Maschinen sind technische Meisterwerke. Sie erlauben – verglichen mit herkömmlichen Baumethoden – einen weitgehend sicheren Vortrieb in verschiedenartigem Gestein."
"2017-2";"Dirk Fox, Johann Fox";"Tipps & Tricks";"Impulsmessung mit dem TX(T)";"36–40";"Wer präzise Steuerungen (Plotter, Roboterarme, Einparkassistenten etc.) mit fischertechnik realisieren will, benötigt möglichst exakte Motorbewegungen. Für diesem Zweck hat fischertechnik Encodermotoren eingeführt, die je Achsumdrehung 75 Impulse liefern und über die Zähleingänge des TX(T) Controllers ausgewertet werden können. Leider sind die Motoren etwas schwach auf der Brust – wer neben Präzision auch Power braucht, muss sich daher etwas einfallen lassen."
"2017-2";"Dirk Fox";"Computing";"I²C mit dem TX(T) – Teil 16: Servo-Driver";"41–47";"Die fischertechnik-Controller TX und TXT können keine Servo-Motoren ansteuern. Das ist ein Ärgernis, ist doch der Einsatz von Servos nicht nur in Fahrzeugmodellen ein Muss: Immer dann, wenn eine schnelle und Winkel-genaue Motorbewegung (mit geringer Last) benötigt wird, ist ein Servo einem „ausgewachsenen“ Elektromotor vorzuziehen – zumal sich der schlanke fischertechnik-Servo auch sehr elegant verbauen lässt. Den TXT kann man sogar mit der IR-Fernsteuerung ansprechen – wegen der fehlenden Servo-Unterstützung kann der TXT das Empfängermodul jedoch nicht ersetzen. Aber auch hier ist, wie so oft bei fischertechnik, Abhilfe möglich."
"2017-2";"Dirk Uffmann";"Computing";"Codes der fischertechnik-Infrarot-Fernsteuerungen (2)";"48–50";"Da ich noch wesentliche, neue Erkenntnisse zu den beiden fischertechnik-Infrarotsendern gewinnen konnte, möchte ich diese hier als Nachtrag zu meinem Artikel in ft:pedia 3/2016 [1] darstellen. Mit der Kenntnis dieser Codes können die fischertechnik-Fernbedienungs-Sender zur Steuerung von Mikro-Controllern bzw. selbst gebauten Fernbedienungs-Empfängern genutzt werden. Gleiches gilt für den Bau eigener Fernbedienungssender zur Steuerung der fischertechnik-Fernbedienungs-Empfänger."
"2017-2";"Helmut Jawtusch";"Computing";"Programmierung des TX in Java, C, C++, C# und Logo";"51–57";"Zweifellos ist ROBO Pro eine leistungsfähige Programmiersprache nicht nur für Einsteiger – und geradezu prädestiniert für die Programmierung endlicher Automaten. Sie hat aber auch ihre Grenzen: Bei komplexen Programmen ist das Debugging mühsam, Fehlercodes sind nicht dokumentiert, die Sensorabfrage ist äußerst langsam und bei großen Programmen kommt es auch mal zu Abstürzen der IDE. Da wünscht man sich manchmal eine „vernünftige“ Programmiersprache herbei – beim TX ist das keine große Sache."
"2017-2";"Torsten Stuehn";"Computing";"Programmierung des TXT mit Python";"58–62";"Dass man Programme für den TXT – nicht zuletzt dank des enthaltenen Linux-Betriebssystems – prinzipiell mit praktisch jeder Programmiersprache entwickeln kann, ist offensichtlich. Aber wie startet man ganz konkret? Der Beitrag zeigt, wie leicht das mit Python und dem vom Autor für die Community entwickelten TXT-Treiberftrobopy gelingt."
"2017-2";"René Trapp";"Computing";"V. I. P. – Ein I²C-nach-Computing-Interface-Umsetzer (Teil 1)";"63–73";"Wie man ein altehrwürdiges fischertechnik Computing Interface als Slave an den I²C-Bus anschließt."
"2017-2";"Dirk Wölffel";"Modell";"fischertechnik-Flipper";"74–81";"Einfache fischertechnik-Flipper finden sich schon in ganz frühen fischertechnik-Anleitungen, so zum Beispiel in denClub-Nachrichten 2/1971 oder imModell-Anhang des Büchleins „Kleine Erfinder – große Ideen“ aus dem Jahr 1972. Aber erst mit den Kugelbahnen (Metallkugeln und Flexschienen) und den Magnetventilen wurde im Jahr 2012 die Konstruktion von Flippern mit echtem „Spielhallen-Flair“ möglich. Dass auch bei fischertechnik-Flippern noch viel Luft nach oben ist, zeigt das hier vorgestellte Modell."
"2017-1";"Harald Steinhaus";"Editorial";"We can Englisch!";"2–3";
"2017-1";"Naranath Bhranthan";"Puzzle – Rätsel (Grundlagen)";"Find the Fault – Suche den Fehler";"6";"This is a ""hidden fault game"". I came across it when looking on the flyer coming along with the Creative Box 1000 [1]. Do you see the fault there? Dies ist ein „Verborgener-Fehler“-Spiel. Ich stieß beim Lesen der der Creative Box 1000 [1] beiliegenden Kurzanleitung darauf. Entdeckst du den Fehler darin?"
"2017-1";"Christian Bergschneider, Stefan Fuss";"Modell";"Ostermodell: KnobelEi";"7";"Die Osterferien stehen vor der Tür. Zeit, den kleinen fischertechnik-Koffer zu packen."
"2017-1";"Ralf Geerken";"Modell";"Mini-Modelle (Teil 16): Radarschirm";"8–9";"Dieses Modell ist einfach nur so entstanden, weil gerade ein Unterbrecherstück von einem Schleifring vor mir auf dem Basteltisch lag. Bei diesem Unterbrecher fehlte allerdings das Mittel- bzw. das Riegelstück, mit dem es am Schleifring festgedreht werden kann. Es erinnerte mich irgendwie an einen kleinen Radarschirm."
"2017-1";"René Trapp";"Tipps & Tricks";"Axiales Kugellager für fischertechnik";"10–12";"fischertechnik wird als System ohne Grenzen bezeichnet. Dank der metrischen Abmessungen eignet es sich wie kaum ein anderes Konstruktionsspielzeug zur Erweiterung mit handelsüblichen Fremdteilen."
"2017-1";"Ralf Geerken";"Tipps & Tricks";"Bowdenzug";"13–16";"Ein Bowdenzug aus fischertechnik – geht das? fischertechnik ist das System der unbegrenzten Möglichkeiten, also lautet die Antwort natürlich: „Ja – das geht!“."
"2017-1";"Rüdiger Riedel";"Tipps & Tricks";"Die Welt der fischertechnik-Winkelsteine";"17–23";"Dass mit den fischertechnik-Winkelbausteinen 60°, 30°, 15° und 7,5° Kreisringe, oder genauer gesagt kreisähnliche Vielecke gebaut werden können, ist trivial. Mischt man aber die Bausteine, dann erschließt sich erst die ganze Vielfalt der Möglichkeiten. Sehr hübsch war das Achteck aus der ft:pedia 2016-4 [1]."
"2017-1";"Stefan Falk";"Grundlagen";"Finde die Fehler (1)";"24–27";"In einer kleinen Beitragsreihe für junge und ältere fischertechnik-Einsteiger werden einige grundlegende Konstruktionsdetails beleuchtet, die man geschickt – oder eben weniger geschickt – bauen kann. Ziel ist es, seine fischertechnik-Bauteile für besser funktionierende Modelle ausnutzen zu können, als das bei etwas zu einfacher Herangehensweise der Fall wäre. Das funktioniert wie in einem Rätsel: Wir zeigen ein absichtlich schlecht gebautes Modell – an dem wir dann die Schwachstellen und Fehler suchen, finden und beseitigen."
"2017-1";"Peter Krijnen";"Grundlagen";"Vergilbte Ideen";"28–34";"Vergilbte Ideen – was soll das sein? Ein Zusammenschluss von zwei Themen: Wie kommt man auf die Idee für ein Modell? Und was kann man machen, wenn seine alten Bilder vergilbt sind?"
"2017-1";"Gerhard Birkenstock";"Modell";"Das animierte Adventsfenster";"35–37";"Kennt ihr den „lebendigen Adventskalender“? Man trifft sich an einigen Abenden im Advent, jedes Mal vor einem anderen Fenster und wartet, bis es von innen beleuchtet wird. Dann erfreut man sich an der Schönheit. Nur: Das sind Stillleben. Klar, dass dies ein fischertechniker so nicht auf sich beruhen lassen kann... Ein animiertes Adventsfenster muss her!"
"2017-1";"Jens Lemkamp";"Modell";"Klappbarer Tablet-PC-Ständer";"38–41";"Praktisch beim Bauen, am Küchentisch, beim Kochen: Unser fischertechnik-Tablet-PCStänder. Und wenn er mal platzsparend verstaut werden muss, kann er ganz einfach zusammengeklappt werden – auch auf Reisen sehr nützlich…"
"2017-1";"Thomas Püttmann";"Uhren (Modell)";"Die Rast-O’Clock-Uhr";"42–47";"Diese Uhr mit separatem Sekundenzeiger ist bei höchster Funktionalität bis aufs Äußerste reduziert. Der Sekundenzeiger bewegt sich kontinuierlich, der Minutenzeiger rastet präzise in sechzig gleichgroßen Schritten pro Stunde. Die Sekunden und Minuten können extrem schnell einzeln eingestellt werden, während die Uhr läuft. Ohne Antrieb ist die Uhr durch ihren reduzierten und transparenten Aufbau und durch den Klang der Rastklicks ein ideales Lernspielzeug, angetrieben von einem Synchronmotor läuft sie zuverlässig im Dauerbetrieb."
"2017-1";"Dirk Fox";"Uhren (Modell)";"Synchronuhr mit Schrittschaltwerk";"48–53";"In der Community gibt es zahlreiche wunderschöne Synchronuhren. Mir fehlte dabei allerdings immer schon ein Getriebe, das den Minutenzeiger diskret alle 60 Sekunden weiterschaltet. Inspiriert von der einen oder andern Konstruktion entstand eine Synchronuhr mit Schrittschaltwerk – und ich gewann einige Einsichten, die bei der Konstruktion eines fischertechnikUhrgetriebes beherzigt werden sollten."
"2017-1";"Ludger Mäsing, Thomas Püttmann";"Uhren (Modell)";"Die Uhrzeit im Klartext";"54–57";"Die Uhrzeit mit Worten anzugeben, ist für Kinder gar nicht so einfach zu erlernen. Wir stellen hier zwei mechanische Modelle vor, die dabei helfen können. Eines verwendet eine Kombination aus Schrittschaltwerk und Anzeigenkette, die auch für sich interessant ist, da sie sich leicht auf ähnliche Anwendungszwecke übertragen lässt."
"2017-1";"Rüdiger Riedel";"Antriebstechnik (Mechanik)";"Zwei Zahnräder und eine Kurbel";"58–67";"Was kann man damit anfangen? Richtig, das ist die gesamte Kinematik eines Motors: des Wankelmotors. Es ist der einzige Kreiskolben-Motor, der bis vor Kurzem für Serienautos hergestellt wurde: von Mazda, unter der Bezeichnung Renesis, Kurzform für: Rotary Engine Genesis [1, 2]. Wen es interessiert, der kann die mathematischen Zusammenhänge in einer sehr schönen Matura- (Abitur-) Arbeit nachlesen [3]. Auch die technischen Fragen sind in einer weiteren Matura-Arbeit dargestellt [4]."
"2017-1";"Andreas Gail";"Modell";"Mammutpumpe";"68–71";"Mit der Vorstellung der sogenannten Mammutpumpe (auch Druckluftheberpumpe genannt) wird eine weitere Möglichkeit gezeigt, eine Pumpe mit fischertechnik aufzubauen."
"2017-1";"Dirk Wölffel";"Tipps & Tricks";"Neue ft-Teile selbst gemacht – 3D-Druck (5): Qualitätsverbesserung des ft-Druckers";"72–76";"Seit Sommer 2016 ist der fischertechnik-3D-Drucker verfügbar. Ein innovatives Produkt, mit dem fischertechnik den Markt überrascht hat. Mit einem Straßenpreis von unter 500 € zielt der Drucker vor allem auf Schulen und die technische Weiterbildung ab. In Betrieb und Aufbau ist das Modell anspruchsvoll. Dank des Baukastensystems fischertechnik lässt sich die Qualität des Drucks mit ein paar kleinen Tricks noch deutlich steigern."
"2017-1";"Matthias Dettmer";"Tipps & Tricks";"Neue ft-Teile selbst gemacht – 3D-Druck (6): Ein Lüfter für den fischertechnik-Drucker";"77–81";"Im Sommer des vergangenen Jahres hat Fischertechnik seinen viel beachteten 3D-Drucker herausgebracht. Schon kurz danach konnte man unter YouTube erste Erfahrungsberichte lesen, und einer der jedes Mal genannten Kritikpunkte ist der fehlende Lüfter für die Kühlung am „Druckgut“. Der Beitrag stellt vor, wie sich dieser Mangel beheben lässt…"
"2017-1";"Andreas Gail";"Modell";"Multiplexausgänge am Robo(tics) TX(T)";"82–85";"Der ROBO TX Controller und auch sein Nachfolger haben nur acht Ausgänge. Bei klassischer Verschaltung können also maximal acht Lampen oder LEDs angeschlossen werden (oder alternativ natürlich auch Motoren usw.). Bei einer reinen Visualisierungsaufgabe können mit diesen acht Ausgängen unter Anwendung des Multiplexverfahrens aber bis zu 16 LEDs individuell angesteuert werden. Wer hätte das gedacht?"
"2017-1";"Dirk Fox";"Computing";"I²C mit dem TX(T) – Teil 15: LED-Display (3)";"86–91";"Neben dem bereits etwas in die Jahre gekommenen (und extrem stromhungrigen) I²C-LEDDisplay SAA1064 von Philips (ft:pedia 4/2012 [1]) und dem eleganten, verbrauchsarmen LED7-Segment-Display von Sparkfun (ft:pedia 4/2016 [2]) gibt es von Adafruit eine kleine „Familie“ von LED-Displays, günstiger als das Sparkfun-Display und mit zusätzlichen interessanten Eigenschaften – jetzt auch mit einem passenden ROBO Pro-Treiber."
"2017-1";"Till Harbaum";"Computing";"Brickly auf dem TXT: Grafische Programmierung à la Google-Blockly";"92–98";"Die grafische Programmierung mit ROBO Pro ist und war eine der Stärken der fischertechnikRobotik. Wie in [1] bereits beschrieben ist auch die Community-Firmware weitgehend kompatibel zu ROBO Pro. Mit „Brickly“ bringt die Community-Firmware nun auch eine erste eigene grafische Programmiermöglichkeit mit – und macht dabei natürlich Einiges anders."
"2016-4";"Stefan Falk";"Editorial";"Von Menschen und Modellen";"2";
"2016-4";"Ralf Geerken, René Trapp, Martin Westphal";"Tipps & Tricks";"Achteck-Variationen";"4–9";"Es könnte so einfach sein, etwas Achteckiges mit fischertechnik-Teilen zu bauen. Es fehlt allerdings bislang an Winkelsteinen 45° oder Phantasie."
"2016-4";"Gerhard Birkenstock";"Tipps & Tricks";"Die elektrifizierte Mini-Eisenbahn (Spur N)";"10–11";"fischertechnik hatte im Juli des vergangenen Jahres zum 50. Geburtstag nach Waldachtal eingeladen. Diesem Ruf sind viele bis zur Spritzgießmaschine gefolgt. Und wer etwas Geduld mitbrachte, konnte sich einen Bausatz der überarbeiteten kleinen Mini-Eisenbahn (Spur N) aus dem Jahre 1979 mitnehmen. Nur zum Hinstellen ist diese aber zu schade."
"2016-4";"Daniel Canonica";"Modell";"Spielautomat";"12–16";"Die „Einarmigen Banditen“ mit dem magischen Klimpern der Münzen haben wohl viele Menschen in den Ruin getrieben und einigen unerwartetes Glück gebracht. Mit fischertechnik kann man schöne Modelle davon bauen, elektromechanisch oder elektronisch gesteuert."
"2016-4";"Stefan Falk";"Modell";"Tür zu, bitte!";"17–25";"Wer kennt ihn nicht, diesen Ruf? Der ertönt, wenn jemand durch eine Tür geht, sie aber nicht wieder schließt – und es zieht! Für fischertechniker gibt es hier Abhilfe in Form einer Maschine, die eine Tür automatisch wieder zu schiebt."
"2016-4";"Peter Krijnen";"Modell";"Gottwald MK500";"26–30";"Mitten in den 1970er Jahren gab es in Boskoop (NL) einen Unfall an einer Hebebrücke. Während des Anhebens brach in einem der beiden Türme eine Achse, was zur Folge hatte, dass die Brücke durch ihre Schieflage nicht mehr zu bewegen war. Für eine Gemeinde, die von dieser Brücke abhing, ergab das große Probleme: Schifffahrt war nicht mehr möglich; LKWs und PKWs mussten Umwege fahren. Nur für Fußgänger und Radler gab es eine kleine Fähre. Zur Reparatur haben die Behörden der Provinz Zuid-Holland die Firma Biglift um Hilfe gebeten. Biglift hat dazu ihren damals schwersten Kran eingesetzt: den Gottwald MK500-88."
"2016-4";"Andreas Gail";"Modell";"Anwendungen für Magneten (3): Magnetkupplungen und Magnetrührer";"31–38";"Im vorliegenden Beitrag geht es im Grunde um die Anwendung von Magnetkupplungen. Hierbei wird eine Antriebskraft mithilfe der Haltekraft von Magneten übertragen. In den meisten Fällen erfolgt die Übertragung der Drehbewegung durch eine oder mehrere Wandungen hindurch. Als spezielles Beispiel soll hier ein gängiges Gerät eines Chemielabors gezeigt werden."
"2016-4";"Andreas Gail";"Modell";"Anwendungen für Magneten (4): Lautsprecher";"39–45";"Von der hier gezeigten Anwendung für Magneten hat sicher jeder schon mal gehört. Es geht um den Lautsprecher, der im klassischen Kofferradio oder den Boxen der Stereo-Anlage verbaut ist. Das Grundprinzip kann mit fischertechnik anschaulich nachgebaut werden."
"2016-4";"Rüdiger Riedel";"Elektromechanik";"Der Elektromagnet: Was kann er (vertragen)?";"46–51";"Der Elektromagnet von fischertechnik [1] ist zusammen mit den starken Neodym-Magneten im Synchronmotor wieder aktuell geworden [2, 3]. Ansonsten führt er ein eher bescheidenes Dasein; in der aktuellen Einzelteilliste sind sowohl der ältere Typ Nr. 31324 als auch der neuere Typ Nr. 32363 nicht einmal mehr enthalten. Was ich besonders bei meinen experimentellen Motoren [4] vermisse, sind technische Daten wie Anziehungskraft und Belastbarkeit. Das will ich hier beleuchten."
"2016-4";"Rüdiger Riedel";"Elektromechanik";"Funktionsmodelle von Gleich- und Wechselstrommotoren";"52–58";"Wegen der Eleganz und Einfachheit wollte ich einen Elektromotor mit einem Reedschalter steuern. Die ersten Versuche waren schnell beendet, weil die Kontakte miteinander verschweißten – der Schalter schaltete nicht mehr. Üblicherweise wird dieser Schaltertyp nur als Sensor und nicht als „Lastschalter“ verwendet [4]. Doch mit ein paar Überlegungen und einer einfachen Maßnahme ist der Weg frei für einen einfachen Gleichstrommotor – als Anlaufhilfe für einen Synchronmotor."
"2016-4";"Till Harbaum";"Computing";"Auf zu neuen Ufern: Die Geschichte der „Community-Firmware“ für den TXT";"59–67";"Mit dem TXT hat fischertechnik vor gut zwei Jahren seinen bisher komplexesten RoboticsController auf den Markt gebracht und auch den Wettbewerb aus Billund in die Schranken verwiesen. Mit seiner Hardwareausstattung entspricht er ungefähr einem Arbeitsplatz-PC aus dem Jahre 2000 bzw. dem ersten Raspberry-Pi-Modell von 2011. Damit ist der TXT zwar 2016 technisch auch im Vergleich zu anderen Embedded-Plattformen nicht mehr ganz aktuell. Aber mehr als das, was die mitgelieferte Software aus ihm herausholt, ist auf jeden Fall machbar. Die fischertechnik-Community verspricht daher mit der Bereitstellung einer unabhängigen Community-Firmware eine frische Brise in den Segeln des inzwischen leicht in die Jahre gekommenen TXTs."
"2016-4";"Till Harbaum";"Computing";"Frische Apps für den TXT-Controller";"68–71";"Die Community-Firmware an sich mag zwar nett anzusehen sein und ein moderneres Fundament haben als das Original. Das an sich stellt aber zunächst nur einen geringen Mehrwert dar. Wesentlich interessanter für den Endanwender sind die Möglichkeiten, die sich durch die Community-Firmware für die Steuerung von Modellen ergeben. Die Stärke der Firmware liegt dabei in dem schier unerschöpflichen Pool von fertigen Bibliotheken und Frameworks aus der Linux-Welt."
"2016-4";"Christian Bergschneider, Stefan Fuss";"Computing";"Ein universeller I²C-Adapter für den TX(T)";"72–79";"Hersteller wie Adafruit oder Sparkfun haben für Arduino und Raspberry Pi viele Sensoren, Aktoren und Erweiterungs-Shields für kleines Geld im Angebot. Der Anschluss am TX(T) über den I²C-Bus ist nicht schwer zu realisieren. Allerdings ist es lästig, die Schaltungen jedes Mal auf einem Steckbrett neu zu erfinden. Mit dem hier vorgestellten I²C-Universal-Adapter läuft jedes Board im Handumdrehen am TX(T)."
"2016-4";"Christian Bergschneider, Stefan Fuss";"Computing";"LED-Backpack im Retrodesign";"80–83";"Handy-Apps mit pixeliger Grafik sind cool, Retro ist in. Höchste Zeit, dem TX(T) etwas 80er Look zu verpassen. Warum nicht mit einer 8x8-LED-Anzeige mit C64-Zeichensatz? Wer will, kann sich mit einfachen Mitteln selbst seinen Zeichensatz für die ftpiLED definieren."
"2016-4";"Dirk Fox";"Computing";"I²C mit dem TX(T) – Teil 14: LED-Display (2)";"84–89";"In einem der ersten Beiträge der I²C-Serie habe ich Ende 2012 die Ansteuerung des I²C-LEDDisplays SAA1064 von Philips vorgestellt. Inzwischen gibt es zahlreiche attraktive Alternativen zu diesem LED-Modul – schneller (Fast Mode), günstiger, in verschiedenen Farben und weit einfacher anzusteuern. Eines dieser Module und den passenden ROBO Pro-Treiber stelle ich hier vor."
"2016-3";"Dirk Fox";"Editorial";"Was wir schon 1972 wussten.";"2";
"2016-3";"René Trapp";"Modell";"Mini-Modelle (Teil 15): Nudelholz";"4";"„... allen #ftctalk-Teilnehmern gewidmet ...“"
"2016-3";"Peter Krijnen";"Modell";"Wiedergefunden";"5–7";"Es gibt fischertechnik-Modelle, die gehen einem seit der Kindheit nicht aus dem Kopf. Und manch eines davon muss man eines Tages einer Weiterentwicklung unterziehen…"
"2016-3";"Daniel Canonica";"Modell";"Luftseilbahn – frei schwebend über die Berge";"8–12";"Über steile Felsabhänge, wo keine Schienen gebaut werden können, schweben anmutig Luftseilbahnen. Ein Kindertraum, verwirklicht mit stabilen Elementen."
